rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 01:30:00,ST-735,ST-3060,3
2023-01-01 03:00:00,ST-3060,ST-1118,5
2023-01-01 04:00:00,ST-2724,ST-2724,3
2023-01-01 09:00:00,ST-2700,ST-914,3
2023-01-01 10:30:00,ST-1470,ST-2791,3
2023-01-01 12:00:00,ST-1121,ST-1672,4
2023-01-01 13:00:00,ST-1474,ST-2791,3
2023-01-01 21:00:00,ST-2085,ST-2792,3
2023-01-07 12:30:00,ST-3060,ST-2791,3
2023-01-07 18:30:00,ST-1118,ST-1118,4
2023-01-07 20:00:00,ST-3174,ST-1125,4
2023-01-08 04:30:00,ST-1291,ST-1132,3
2023-01-08 12:30:00,ST-1642,ST-1121,3
2023-01-08 15:00:00,ST-606,ST-606,3
2023-01-08 16:30:00,ST-1121,ST-1121,5
2023-01-08 19:00:00,ST-611,ST-1473,3
2023-01-14 00:30:00,ST-1122,ST-2707,3
2023-01-14 07:30:00,ST-2223,ST-1299,4
2023-01-15 13:30:00,ST-1285,ST-2085,3
2023-01-15 13:30:00,ST-2088,ST-2088,3
2023-01-15 15:00:00,ST-2085,ST-1285,3
2023-01-15 16:30:00,ST-2703,ST-2703,3
2023-01-15 17:00:00,ST-558,ST-3167,3
2023-01-15 20:00:00,ST-2077,ST-2077,3
2023-01-15 21:00:00,ST-578,ST-578,5
2023-01-15 22:00:00,ST-1279,ST-1279,4
2023-01-21 14:30:00,ST-914,ST-1285,3
2023-01-21 15:00:00,ST-611,ST-611,3
2023-01-21 15:30:00,ST-3060,ST-2791,3
2023-01-21 18:00:00,ST-2718,ST-2718,3
2023-01-21 19:00:00,ST-1474,ST-2075,3
2023-01-21 20:30:00,ST-1118,ST-3060,3
2023-01-21 23:30:00,ST-3116,ST-1286,3
2023-01-22 10:30:00,ST-2701,ST-1285,3
2023-01-22 12:00:00,ST-2701,ST-2701,5
2023-01-22 12:30:00,ST-1279,ST-2791,3
2023-01-22 12:30:00,ST-2710,ST-1470,3
2023-01-22 13:30:00,ST-2086,ST-2699,5
2023-01-22 14:30:00,ST-3116,ST-3116,3
2023-01-22 19:00:00,ST-1476,ST-1476,3
2023-01-22 19:30:00,ST-1349,ST-603,3
2023-01-23 08:30:00,ST-611,ST-2711,3
2023-01-23 09:00:00,ST-2078,ST-2754,5
2023-01-23 14:30:00,ST-603,ST-1349,3
2023-01-23 16:30:00,ST-1349,ST-603,3
2023-01-23 17:00:00,ST-1127,ST-2859,3
2023-01-23 19:00:00,ST-2835,ST-1281,3
2023-01-23 21:00:00,ST-1281,ST-2729,3
2023-01-24 01:00:00,ST-2087,ST-1121,3
2023-01-24 05:00:00,ST-2702,ST-2702,3
2023-01-24 16:30:00,ST-2706,ST-2078,3
2023-01-28 00:30:00,ST-1642,ST-2085,3
2023-01-28 09:30:00,ST-604,ST-2081,3
2023-01-28 10:30:00,ST-2075,ST-2075,3
2023-01-28 12:00:00,ST-1672,ST-1672,3
2023-01-28 14:30:00,ST-1286,ST-2754,3
2023-01-28 19:00:00,ST-2085,ST-2085,3
2023-01-28 22:00:00,ST-1285,ST-1285,3
2023-01-28 22:00:00,ST-914,ST-914,3
2023-01-29 03:00:00,ST-1474,ST-1474,3
2023-01-29 04:30:00,ST-604,ST-1118,3
2023-01-29 17:30:00,ST-1124,ST-2085,4
2023-01-29 19:30:00,ST-2861,ST-602,3
2023-02-04 00:00:00,ST-604,ST-604,3
2023-02-04 00:30:00,ST-558,ST-1333,3
2023-02-04 01:00:00,ST-1279,ST-1279,3
2023-02-04 06:00:00,ST-2223,ST-1299,4
2023-02-04 10:30:00,ST-1473,ST-914,3
2023-02-04 10:30:00,ST-2703,ST-3060,3
2023-02-04 12:30:00,ST-1476,ST-1476,3
2023-02-04 12:30:00,ST-2079,ST-2095,4
2023-02-04 13:00:00,ST-2700,ST-2699,3
2023-02-04 14:00:00,ST-2792,ST-3116,3
2023-02-04 15:00:00,ST-1470,ST-2791,3
2023-02-04 15:00:00,ST-1672,ST-1121,3
2023-02-04 16:00:00,ST-2701,ST-2706,3
2023-02-04 16:30:00,ST-606,ST-606,3
2023-02-04 18:00:00,ST-914,ST-3015,3
2023-02-04 18:30:00,ST-2791,ST-2791,4
2023-02-04 18:30:00,ST-3060,ST-2718,3
2023-02-04 19:00:00,ST-3015,ST-2718,3
2023-02-04 19:30:00,ST-1279,ST-1279,3
2023-02-04 19:30:00,ST-2718,ST-914,3
2023-02-04 20:00:00,ST-2709,ST-2726,3
2023-02-04 20:00:00,ST-602,ST-2075,3
2023-02-04 20:30:00,ST-2718,ST-611,4
2023-02-04 21:30:00,ST-2791,ST-3060,3
2023-02-04 22:00:00,ST-866,ST-1281,3
2023-02-04 23:00:00,ST-2085,ST-2726,3
2023-02-05 00:30:00,ST-3060,ST-1286,3
2023-02-05 13:00:00,ST-735,ST-735,3
2023-02-05 13:30:00,ST-2718,ST-2718,4
2023-02-05 14:30:00,ST-3174,ST-2791,3
2023-02-05 15:00:00,ST-2719,ST-914,3
2023-02-05 15:00:00,ST-2791,ST-3174,3
2023-02-05 15:00:00,ST-3175,ST-2967,4
2023-02-05 15:30:00,ST-1132,ST-1470,3
2023-02-05 16:00:00,ST-1281,ST-1281,3
2023-02-05 16:30:00,ST-1642,ST-1642,3
2023-02-05 17:00:00,ST-603,ST-3060,3
2023-02-05 17:30:00,ST-1299,ST-578,3
2023-02-05 19:00:00,ST-3015,ST-1121,4
2023-02-11 08:30:00,ST-2726,ST-1292,3
2023-02-11 12:30:00,ST-2709,ST-1125,3
2023-02-11 13:30:00,ST-1291,ST-2085,3
2023-02-11 13:30:00,ST-1349,ST-1474,3
2023-02-11 13:30:00,ST-603,ST-2791,4
2023-02-11 15:30:00,ST-1672,ST-1279,3
2023-02-11 17:00:00,ST-914,ST-2835,5
2023-02-11 18:00:00,ST-2791,ST-3060,3
2023-02-11 18:30:00,ST-1639,ST-2079,3
2023-02-11 19:00:00,ST-2791,ST-3174,3
2023-02-11 19:30:00,ST-1279,ST-1279,3
2023-02-11 19:30:00,ST-2076,ST-2085,3
2023-02-11 19:30:00,ST-2633,ST-596,4
2023-02-11 20:00:00,ST-1639,ST-2721,3
2023-02-11 21:30:00,ST-1123,ST-2791,3
2023-02-11 21:30:00,ST-611,ST-2717,4
2023-02-11 21:30:00,ST-611,ST-611,4
2023-02-12 08:30:00,ST-2718,ST-914,3
2023-02-12 09:00:00,ST-2804,ST-2804,3
2023-02-12 11:30:00,ST-603,ST-2085,4
