rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 02:00:00,ST-112,ST-1690,3
2023-01-01 05:30:00,ST-2308,ST-259,5
2023-01-01 06:00:00,ST-1378,ST-259,3
2023-01-01 06:00:00,ST-983,ST-259,4
2023-01-01 07:00:00,ST-1661,ST-99,3
2023-01-01 10:00:00,ST-387,ST-2309,3
2023-01-01 13:00:00,ST-385,ST-385,3
2023-01-01 15:00:00,ST-106,ST-258,3
2023-01-01 15:00:00,ST-99,ST-99,3
2023-01-01 15:30:00,ST-109,ST-2334,3
2023-01-01 15:30:00,ST-1192,ST-1660,3
2023-01-01 15:30:00,ST-1199,ST-1199,4
2023-01-07 11:30:00,ST-99,ST-2865,3
2023-01-07 13:30:00,ST-102,ST-2308,3
2023-01-07 14:00:00,ST-253,ST-382,3
2023-01-07 14:00:00,ST-255,ST-255,3
2023-01-07 14:00:00,ST-99,ST-99,4
2023-01-07 15:00:00,ST-99,ST-506,3
2023-01-07 16:00:00,ST-3121,ST-2341,3
2023-01-07 16:00:00,ST-506,ST-106,3
2023-01-07 16:30:00,ST-2330,ST-2330,3
2023-01-07 17:00:00,ST-99,ST-258,3
2023-01-07 17:30:00,ST-2314,ST-2308,3
2023-01-07 18:00:00,ST-97,ST-97,3
2023-01-07 19:00:00,ST-362,ST-368,3
2023-01-07 22:00:00,ST-368,ST-362,3
2023-01-07 22:30:00,ST-506,ST-446,3
2023-01-07 23:30:00,ST-506,ST-2305,3
2023-01-08 10:00:00,ST-2310,ST-2310,3
2023-01-08 10:30:00,ST-258,ST-99,3
2023-01-08 11:30:00,ST-2305,ST-1660,3
2023-01-08 12:00:00,ST-2310,ST-2310,3
2023-01-08 14:00:00,ST-241,ST-241,3
2023-01-08 14:30:00,ST-2310,ST-2310,4
2023-01-08 14:30:00,ST-99,ST-1660,4
2023-01-08 15:30:00,ST-99,ST-256,3
2023-01-08 16:00:00,ST-1663,ST-2314,3
2023-01-08 17:30:00,ST-2834,ST-112,3
2023-01-08 18:00:00,ST-1266,ST-983,3
2023-01-08 19:00:00,ST-1271,ST-1603,3
2023-01-08 19:00:00,ST-1690,ST-1663,3
2023-01-08 21:00:00,ST-3043,ST-3043,4
2023-01-08 21:30:00,ST-2308,ST-2309,3
2023-01-08 21:30:00,ST-3121,ST-3042,3
2023-01-08 21:30:00,ST-99,ST-99,5
2023-01-08 23:30:00,ST-368,ST-2310,4
2023-01-14 00:30:00,ST-987,ST-987,3
2023-01-14 15:30:00,ST-2331,ST-2331,3
2023-01-14 17:30:00,ST-2312,ST-2312,3
2023-01-14 18:00:00,ST-102,ST-2308,3
2023-01-14 18:00:00,ST-984,ST-102,3
2023-01-15 18:30:00,ST-2318,ST-2318,3
2023-01-15 19:30:00,ST-2326,ST-241,3
2023-01-15 20:00:00,ST-253,ST-253,3
2023-01-15 22:00:00,ST-1603,ST-1603,3
2023-01-21 00:30:00,ST-241,ST-3136,3
2023-01-21 02:00:00,ST-241,ST-2321,3
2023-01-21 10:30:00,ST-980,ST-99,4
2023-01-21 11:00:00,ST-363,ST-1263,3
2023-01-21 16:00:00,ST-3121,ST-3121,3
2023-01-21 19:00:00,ST-99,ST-980,3
2023-01-22 09:00:00,ST-258,ST-99,3
2023-01-22 15:30:00,ST-2320,ST-112,3
2023-01-22 18:30:00,ST-381,ST-1722,4
2023-01-22 18:30:00,ST-99,ST-258,3
2023-01-22 21:00:00,ST-2320,ST-1660,3
2023-01-23 11:30:00,ST-371,ST-368,4
2023-01-23 14:30:00,ST-2545,ST-1660,3
2023-01-23 16:30:00,ST-1192,ST-385,3
2023-01-23 16:30:00,ST-2314,ST-2891,3
2023-01-23 16:30:00,ST-378,ST-102,3
2023-01-23 17:00:00,ST-483,ST-1660,3
2023-01-23 19:00:00,ST-99,ST-1660,3
2023-01-24 13:30:00,ST-1192,ST-2308,3
2023-01-24 15:30:00,ST-1603,ST-1271,3
2023-01-28 00:30:00,ST-2308,ST-99,4
2023-01-28 09:30:00,ST-2320,ST-3043,3
2023-01-28 14:30:00,ST-255,ST-1722,4
2023-01-28 18:00:00,ST-987,ST-2308,3
2023-01-28 23:00:00,ST-2308,ST-987,3
2023-01-28 23:00:00,ST-2310,ST-99,3
2023-01-29 00:00:00,ST-2308,ST-378,3
2023-01-29 08:30:00,ST-3012,ST-255,3
2023-01-29 09:00:00,ST-3136,ST-3136,3
2023-01-29 11:30:00,ST-446,ST-506,3
2023-01-29 12:00:00,ST-256,ST-256,4
2023-01-29 13:30:00,ST-1199,ST-1199,3
2023-01-29 13:30:00,ST-2542,ST-2309,3
2023-01-29 15:30:00,ST-2546,ST-1660,3
2023-01-29 16:30:00,ST-1690,ST-106,3
2023-01-29 18:00:00,ST-2865,ST-1660,3
2023-01-29 19:00:00,ST-506,ST-446,3
2023-01-29 21:30:00,ST-363,ST-1263,3
2023-02-04 01:00:00,ST-483,ST-1660,3
