rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 00:30:00,ST-1065,ST-2994,3
2023-01-01 01:00:00,ST-512,ST-1062,3
2023-01-01 01:30:00,ST-1694,ST-522,6
2023-01-01 01:30:00,ST-2031,ST-2035,5
2023-01-01 03:00:00,ST-2031,ST-1714,4
2023-01-01 04:00:00,ST-1714,ST-975,3
2023-01-01 06:00:00,ST-512,ST-2022,4
2023-01-01 13:00:00,ST-1253,ST-2040,3
2023-01-01 13:30:00,ST-1064,ST-2031,3
2023-01-01 13:30:00,ST-2031,ST-2031,3
2023-01-01 14:00:00,ST-3094,ST-520,4
2023-01-01 15:30:00,ST-1688,ST-2611,3
2023-01-01 17:30:00,ST-2031,ST-2031,3
2023-01-01 18:00:00,ST-1062,ST-1645,3
2023-01-01 20:30:00,ST-520,ST-2025,3
2023-01-07 08:30:00,ST-1510,ST-3094,4
2023-01-07 08:30:00,ST-2890,ST-1254,4
2023-01-07 09:00:00,ST-2411,ST-1718,3
2023-01-07 09:30:00,ST-2031,ST-2040,3
2023-01-07 09:30:00,ST-2965,ST-2871,3
2023-01-07 11:00:00,ST-1402,ST-2871,3
2023-01-07 12:30:00,ST-2490,ST-1688,3
2023-01-07 12:30:00,ST-2858,ST-2031,3
2023-01-07 13:00:00,ST-1645,ST-1645,3
2023-01-07 13:00:00,ST-2049,ST-2538,3
2023-01-07 14:00:00,ST-1352,ST-1352,3
2023-01-07 14:00:00,ST-2557,ST-2557,3
2023-01-07 14:30:00,ST-530,ST-2020,3
2023-01-07 15:30:00,ST-2790,ST-2045,3
2023-01-07 15:30:00,ST-508,ST-2486,3
2023-01-07 16:00:00,ST-2037,ST-1251,3
2023-01-07 16:30:00,ST-1718,ST-514,3
2023-01-07 16:30:00,ST-2965,ST-1065,3
2023-01-07 18:30:00,ST-1645,ST-1352,3
2023-01-07 18:30:00,ST-975,ST-2036,3
2023-01-07 19:00:00,ST-2047,ST-2994,3
2023-01-07 20:00:00,ST-1254,ST-1254,3
2023-01-07 20:30:00,ST-2538,ST-2831,3
2023-01-07 21:00:00,ST-1351,ST-1351,3
2023-01-07 21:00:00,ST-2031,ST-1714,3
2023-01-07 21:30:00,ST-1714,ST-2041,3
2023-01-07 22:00:00,ST-2871,ST-1402,3
2023-01-07 22:30:00,ST-2871,ST-2965,3
2023-01-07 23:00:00,ST-2045,ST-2049,3
2023-01-07 23:30:00,ST-1249,ST-2479,4
2023-01-08 00:30:00,ST-1688,ST-2487,4
2023-01-08 00:30:00,ST-2020,ST-1506,3
2023-01-08 01:30:00,ST-1065,ST-1402,3
2023-01-08 08:30:00,ST-2890,ST-2031,4
2023-01-08 13:00:00,ST-2831,ST-2871,3
2023-01-08 14:00:00,ST-1249,ST-2557,3
2023-01-08 15:00:00,ST-1067,ST-1067,3
2023-01-08 15:30:00,ST-513,ST-1254,3
2023-01-08 15:30:00,ST-514,ST-1689,3
2023-01-08 15:30:00,ST-835,ST-2490,4
2023-01-08 16:00:00,ST-2490,ST-2042,4
2023-01-08 16:30:00,ST-1351,ST-1351,3
2023-01-08 17:00:00,ST-2045,ST-523,4
2023-01-08 17:30:00,ST-1352,ST-2832,3
2023-01-08 17:30:00,ST-2884,ST-2045,7
2023-01-08 18:00:00,ST-2034,ST-2034,3
2023-01-08 18:00:00,ST-512,ST-2883,4
2023-01-08 19:00:00,ST-1519,ST-522,4
2023-01-08 19:00:00,ST-2031,ST-1352,4
2023-01-08 19:00:00,ST-834,ST-3100,3
2023-01-08 19:30:00,ST-522,ST-834,3
2023-01-08 20:30:00,ST-1710,ST-2045,3
2023-01-08 21:30:00,ST-2890,ST-2890,3
2023-01-14 08:30:00,ST-512,ST-512,3
2023-01-14 09:00:00,ST-513,ST-513,3
2023-01-14 15:00:00,ST-1689,ST-1689,3
2023-01-14 15:00:00,ST-1718,ST-1718,3
2023-01-14 15:30:00,ST-2790,ST-2045,3
2023-01-14 16:00:00,ST-975,ST-1718,3
2023-01-14 16:30:00,ST-2858,ST-1352,3
2023-01-14 17:00:00,ST-1506,ST-1508,3
2023-01-14 17:30:00,ST-1352,ST-2858,3
2023-01-14 20:30:00,ST-3094,ST-1510,3
2023-01-14 22:30:00,ST-1718,ST-1718,3
2023-01-14 23:00:00,ST-2884,ST-2884,3
2023-01-15 00:00:00,ST-1718,ST-1718,12
2023-01-15 14:30:00,ST-835,ST-835,4
2023-01-15 15:30:00,ST-3084,ST-3084,3
2023-01-15 16:00:00,ST-2031,ST-2031,4
2023-01-15 16:30:00,ST-1069,ST-1069,3
2023-01-15 16:30:00,ST-518,ST-518,3
2023-01-15 17:00:00,ST-2036,ST-1688,3
2023-01-15 17:30:00,ST-1253,ST-1253,3
2023-01-15 17:30:00,ST-1514,ST-1514,3
2023-01-15 17:30:00,ST-2993,ST-2993,6
2023-01-15 18:00:00,ST-1351,ST-1249,3
2023-01-15 18:00:00,ST-2491,ST-2491,3
2023-01-15 18:00:00,ST-834,ST-834,3
2023-01-15 18:30:00,ST-1351,ST-1351,6
2023-01-15 19:00:00,ST-518,ST-518,4
2023-01-15 19:00:00,ST-522,ST-2031,3
2023-01-15 20:00:00,ST-2058,ST-2058,3
2023-01-15 21:00:00,ST-2057,ST-2057,4
2023-01-15 21:30:00,ST-511,ST-511,3
2023-01-15 22:00:00,ST-1508,ST-1508,3
2023-01-15 22:00:00,ST-1714,ST-1714,3
2023-01-15 23:00:00,ST-1718,ST-1718,3
2023-01-21 13:00:00,ST-2411,ST-1063,3
2023-01-21 13:30:00,ST-1645,ST-1645,3
2023-01-21 16:30:00,ST-2037,ST-2037,5
2023-01-21 18:00:00,ST-2538,ST-2056,4
2023-01-21 19:00:00,ST-1249,ST-2557,3
2023-01-21 21:00:00,ST-2031,ST-1402,3
2023-01-22 13:30:00,ST-1065,ST-1065,3
2023-01-22 13:30:00,ST-2025,ST-1067,3
2023-01-22 13:30:00,ST-2888,ST-2888,4
2023-01-22 14:00:00,ST-2965,ST-2033,5
2023-01-22 14:30:00,ST-1510,ST-1065,3
2023-01-22 18:00:00,ST-522,ST-1645,3
2023-01-22 18:30:00,ST-835,ST-2042,3
2023-01-22 19:30:00,ST-2031,ST-1065,3
2023-01-22 19:30:00,ST-2492,ST-523,3
