rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 13:30:00,ST-1731,ST-1019,3
2023-01-01 14:00:00,ST-2054,ST-2054,3
2023-01-01 14:30:00,ST-2760,ST-311,3
2023-01-01 16:00:00,ST-2844,ST-2844,3
2023-01-01 16:30:00,ST-1002,ST-1002,4
2023-01-01 16:30:00,ST-2760,ST-2761,3
2023-01-01 18:30:00,ST-1995,ST-2398,3
2023-01-01 19:00:00,ST-312,ST-2013,3
2023-01-07 09:30:00,ST-2764,ST-1996,3
2023-01-07 14:00:00,ST-1002,ST-1731,3
2023-01-07 16:00:00,ST-2765,ST-1497,3
2023-01-07 16:30:00,ST-317,ST-316,3
2023-01-07 17:30:00,ST-2014,ST-2014,3
2023-01-07 18:00:00,ST-2774,ST-1994,3
2023-01-07 18:00:00,ST-2961,ST-2007,3
2023-01-07 18:00:00,ST-2961,ST-315,5
2023-01-07 21:30:00,ST-1731,ST-309,3
2023-01-07 21:30:00,ST-3089,ST-315,3
2023-01-07 22:30:00,ST-3163,ST-2007,3
2023-01-07 23:30:00,ST-2011,ST-3089,3
2023-01-07 23:30:00,ST-311,ST-2007,3
2023-01-08 00:00:00,ST-1731,ST-2398,3
2023-01-08 09:30:00,ST-1005,ST-312,3
2023-01-08 09:30:00,ST-1006,ST-1017,3
2023-01-08 09:30:00,ST-1731,ST-1019,3
2023-01-08 10:30:00,ST-2761,ST-1996,3
2023-01-08 13:30:00,ST-1997,ST-1995,3
2023-01-08 14:00:00,ST-2011,ST-2011,3
2023-01-08 14:30:00,ST-2017,ST-1731,3
2023-01-08 15:00:00,ST-3089,ST-2692,3
2023-01-08 16:00:00,ST-1505,ST-1505,3
2023-01-08 17:30:00,ST-1995,ST-1996,4
2023-01-08 18:00:00,ST-1995,ST-2395,3
2023-01-08 18:00:00,ST-2002,ST-1015,3
2023-01-08 18:00:00,ST-3104,ST-534,3
2023-01-14 09:00:00,ST-3104,ST-431,3
2023-01-14 15:00:00,ST-1498,ST-2008,3
2023-01-14 16:00:00,ST-997,ST-997,3
2023-01-14 18:00:00,ST-1019,ST-1731,3
2023-01-14 22:00:00,ST-2016,ST-2398,3
2023-01-15 11:30:00,ST-1993,ST-316,3
2023-01-15 15:30:00,ST-2768,ST-2768,3
2023-01-15 16:30:00,ST-993,ST-993,3
