rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 01:30:00,ST-1542,ST-1268,3
2023-01-01 01:30:00,ST-2826,ST-1265,3
2023-01-01 01:30:00,ST-2826,ST-2653,5
2023-01-01 01:30:00,ST-2826,ST-2654,4
2023-01-01 01:30:00,ST-2826,ST-702,7
2023-01-01 02:00:00,ST-2826,ST-704,3
2023-01-01 02:30:00,ST-702,ST-702,3
2023-01-01 02:30:00,ST-882,ST-1548,3
2023-01-01 09:30:00,ST-720,ST-1547,3
2023-01-01 10:30:00,ST-2996,ST-1268,3
2023-01-01 20:30:00,ST-702,ST-2851,3
2023-01-01 23:00:00,ST-882,ST-1548,3
2023-01-07 09:00:00,ST-2851,ST-702,4
2023-01-07 09:30:00,ST-1546,ST-2826,4
2023-01-07 09:30:00,ST-2654,ST-2826,3
2023-01-07 10:00:00,ST-2851,ST-702,4
2023-01-07 12:00:00,ST-1267,ST-2375,3
2023-01-07 16:30:00,ST-668,ST-2826,3
2023-01-07 18:00:00,ST-702,ST-1678,3
2023-01-07 23:30:00,ST-733,ST-709,3
2023-01-08 08:00:00,ST-1546,ST-2826,5
2023-01-08 12:30:00,ST-2826,ST-1546,3
2023-01-08 12:30:00,ST-2842,ST-1259,3
2023-01-08 13:00:00,ST-1678,ST-724,3
2023-01-08 15:30:00,ST-1678,ST-713,3
2023-01-08 17:00:00,ST-882,ST-882,3
2023-01-08 17:30:00,ST-702,ST-2851,4
2023-01-08 18:30:00,ST-1357,ST-1268,3
2023-01-08 19:00:00,ST-1268,ST-704,4
2023-01-14 17:00:00,ST-1357,ST-668,3
2023-01-14 18:00:00,ST-668,ST-702,3
2023-01-14 22:00:00,ST-1546,ST-1546,3
2023-01-15 21:00:00,ST-715,ST-715,3
2023-01-21 14:00:00,ST-1357,ST-3105,3
2023-01-22 00:30:00,ST-1264,ST-1259,3
2023-01-22 04:30:00,ST-936,ST-704,4
2023-01-22 14:30:00,ST-3105,ST-3105,4
2023-01-22 20:30:00,ST-724,ST-1678,3
2023-01-23 00:30:00,ST-882,ST-1548,3
2023-01-23 03:00:00,ST-1259,ST-2995,3
