rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 00:00:00,ST-2181,ST-3056,3
2023-01-01 01:30:00,ST-328,ST-328,4
2023-01-01 06:30:00,ST-202,ST-73,4
2023-01-01 12:30:00,ST-2184,ST-2184,4
2023-01-01 15:00:00,ST-205,ST-205,3
2023-01-01 15:00:00,ST-2173,ST-1325,4
2023-01-01 15:00:00,ST-2818,ST-3072,3
2023-01-01 16:30:00,ST-3142,ST-73,3
2023-01-01 23:00:00,ST-3054,ST-3054,3
2023-01-07 14:30:00,ST-728,ST-2353,3
2023-01-07 15:00:00,ST-2450,ST-2450,4
2023-01-07 15:00:00,ST-307,ST-2240,3
2023-01-07 15:30:00,ST-2176,ST-2154,3
2023-01-07 15:30:00,ST-2450,ST-2450,3
2023-01-07 15:30:00,ST-2818,ST-66,3
2023-01-07 17:00:00,ST-2353,ST-728,3
2023-01-07 17:00:00,ST-700,ST-1150,3
2023-01-07 17:30:00,ST-47,ST-47,3
2023-01-07 18:30:00,ST-2173,ST-1342,3
2023-01-07 18:30:00,ST-2899,ST-297,4
2023-01-07 20:00:00,ST-332,ST-1325,3
2023-01-07 20:30:00,ST-693,ST-2177,3
2023-01-07 23:30:00,ST-2177,ST-693,3
2023-01-08 11:00:00,ST-3204,ST-3142,3
2023-01-08 12:30:00,ST-2177,ST-699,3
2023-01-08 12:30:00,ST-2924,ST-1376,4
2023-01-08 13:30:00,ST-55,ST-70,4
2023-01-08 14:00:00,ST-2176,ST-2176,3
2023-01-08 14:30:00,ST-332,ST-2172,3
2023-01-08 14:30:00,ST-334,ST-2187,3
2023-01-08 14:30:00,ST-73,ST-73,3
2023-01-08 15:30:00,ST-1545,ST-1545,4
2023-01-08 16:00:00,ST-426,ST-426,4
2023-01-08 19:30:00,ST-331,ST-331,3
2023-01-08 19:30:00,ST-699,ST-699,3
2023-01-08 21:00:00,ST-70,ST-296,3
2023-01-08 23:30:00,ST-2177,ST-440,4
2023-01-14 16:00:00,ST-2440,ST-2924,3
2023-01-14 18:00:00,ST-73,ST-202,3
2023-01-14 20:30:00,ST-73,ST-1446,3
2023-01-15 16:30:00,ST-2813,ST-2813,3
2023-01-15 17:00:00,ST-67,ST-67,4
2023-01-15 17:30:00,ST-1721,ST-1376,3
2023-01-15 17:30:00,ST-297,ST-297,17
2023-01-15 20:00:00,ST-3102,ST-3102,3
2023-01-15 20:00:00,ST-692,ST-692,3
2023-01-15 20:30:00,ST-2353,ST-2353,3
2023-01-15 20:30:00,ST-66,ST-66,3
2023-01-15 21:00:00,ST-1321,ST-1321,3
2023-01-15 21:00:00,ST-64,ST-64,3
2023-01-21 09:00:00,ST-438,ST-2786,3
2023-01-21 09:30:00,ST-700,ST-683,3
2023-01-21 14:00:00,ST-2456,ST-2187,3
2023-01-21 15:00:00,ST-3160,ST-3142,3
2023-01-21 16:00:00,ST-73,ST-2814,3
2023-01-21 16:30:00,ST-2814,ST-73,3
2023-01-21 18:00:00,ST-3142,ST-3160,3
2023-01-21 23:30:00,ST-70,ST-46,4
2023-01-22 12:30:00,ST-205,ST-205,3
2023-01-22 13:00:00,ST-73,ST-426,3
2023-01-22 14:00:00,ST-2182,ST-2182,5
2023-01-22 16:30:00,ST-52,ST-52,3
2023-01-22 18:00:00,ST-73,ST-68,3
2023-01-23 09:00:00,ST-68,ST-683,3
2023-01-23 13:00:00,ST-2184,ST-2456,3
2023-01-23 15:00:00,ST-2240,ST-683,4
2023-01-23 15:30:00,ST-3142,ST-306,3
2023-01-23 17:00:00,ST-3083,ST-335,5
2023-01-23 18:30:00,ST-2814,ST-73,3
2023-01-23 20:00:00,ST-205,ST-202,3
2023-01-24 07:00:00,ST-63,ST-68,3
2023-01-24 16:00:00,ST-2177,ST-436,3
2023-01-28 09:00:00,ST-3082,ST-3082,3
2023-01-28 15:00:00,ST-2146,ST-2146,3
2023-01-28 15:30:00,ST-436,ST-435,3
2023-01-28 23:30:00,ST-2177,ST-1339,3
2023-01-29 12:00:00,ST-69,ST-63,3
2023-01-29 13:00:00,ST-51,ST-51,3
2023-01-29 16:30:00,ST-1325,ST-3054,5
2023-01-29 16:30:00,ST-70,ST-46,3
2023-01-29 18:30:00,ST-3072,ST-307,3
2023-01-29 21:00:00,ST-1721,ST-1325,3
2023-01-29 23:00:00,ST-438,ST-1446,3
2023-02-04 13:00:00,ST-1970,ST-73,3
2023-02-04 13:00:00,ST-307,ST-2240,3
2023-02-04 13:00:00,ST-728,ST-2353,3
2023-02-04 14:00:00,ST-2240,ST-307,3
2023-02-04 15:00:00,ST-2358,ST-690,5
2023-02-04 15:30:00,ST-2358,ST-728,4
2023-02-04 16:00:00,ST-326,ST-2177,3
2023-02-04 17:00:00,ST-2187,ST-1443,3
2023-02-04 17:00:00,ST-59,ST-63,3
2023-02-04 17:30:00,ST-1339,ST-2177,3
2023-02-04 17:30:00,ST-1443,ST-2187,4
2023-02-04 22:00:00,ST-1443,ST-2827,3
2023-02-04 22:30:00,ST-2813,ST-307,3
2023-02-04 22:30:00,ST-3142,ST-306,3
2023-02-05 10:30:00,ST-297,ST-1545,5
2023-02-05 12:30:00,ST-2187,ST-1443,4
2023-02-05 14:00:00,ST-53,ST-53,4
2023-02-05 14:00:00,ST-687,ST-1151,3
2023-02-05 15:00:00,ST-204,ST-73,4
2023-02-05 15:00:00,ST-297,ST-297,5
2023-02-05 15:00:00,ST-335,ST-2177,3
2023-02-05 15:30:00,ST-2172,ST-3056,3
2023-02-05 16:00:00,ST-73,ST-73,3
2023-02-05 16:30:00,ST-73,ST-3073,4
2023-02-05 17:00:00,ST-3072,ST-3072,4
2023-02-05 17:30:00,ST-55,ST-63,3
2023-02-05 18:00:00,ST-692,ST-692,3
2023-02-05 18:30:00,ST-699,ST-699,3
2023-02-05 19:00:00,ST-307,ST-307,3
2023-02-05 19:30:00,ST-699,ST-687,3
2023-02-05 20:30:00,ST-699,ST-2240,3
2023-02-05 21:30:00,ST-73,ST-1150,3
2023-02-05 22:30:00,ST-2240,ST-1150,3
2023-02-11 02:30:00,ST-2353,ST-1150,5
2023-02-11 09:00:00,ST-53,ST-53,3
2023-02-11 11:30:00,ST-437,ST-1436,3
2023-02-11 12:00:00,ST-436,ST-435,3
2023-02-11 12:30:00,ST-1436,ST-214,3
2023-02-11 12:30:00,ST-204,ST-2146,3
2023-02-11 14:00:00,ST-205,ST-205,3
2023-02-11 14:30:00,ST-700,ST-1443,3
2023-02-11 14:30:00,ST-73,ST-73,3
2023-02-11 15:30:00,ST-2176,ST-2154,3
2023-02-11 16:30:00,ST-2367,ST-2367,3
2023-02-11 16:30:00,ST-297,ST-70,3
2023-02-11 16:30:00,ST-3072,ST-3072,3
2023-02-11 17:00:00,ST-73,ST-73,4
2023-02-11 17:30:00,ST-683,ST-699,3
2023-02-11 18:00:00,ST-440,ST-2177,5
2023-02-11 18:30:00,ST-2240,ST-2240,3
2023-02-11 18:30:00,ST-53,ST-63,3
2023-02-11 20:30:00,ST-1321,ST-3072,3
2023-02-11 21:30:00,ST-26,ST-3008,3
2023-02-11 22:00:00,ST-3072,ST-1321,3
2023-02-11 22:30:00,ST-2350,ST-2350,3
2023-02-11 22:30:00,ST-3008,ST-26,3
2023-02-11 23:30:00,ST-327,ST-2177,4
2023-02-11 23:30:00,ST-70,ST-46,4
2023-02-12 00:00:00,ST-2177,ST-683,3
2023-02-12 00:00:00,ST-67,ST-2353,3
2023-02-12 11:30:00,ST-2803,ST-1150,3
2023-02-12 13:00:00,ST-73,ST-73,4
2023-02-12 14:30:00,ST-73,ST-73,3
2023-02-12 15:30:00,ST-297,ST-297,4
2023-02-12 16:00:00,ST-67,ST-296,3
2023-02-12 16:00:00,ST-683,ST-64,4
2023-02-12 16:30:00,ST-2177,ST-2177,3
2023-02-12 16:30:00,ST-435,ST-2182,3
2023-02-12 16:30:00,ST-55,ST-3142,3
2023-02-12 17:30:00,ST-73,ST-73,3
2023-02-12 17:30:00,ST-877,ST-2240,3
2023-02-12 18:30:00,ST-2803,ST-2803,4
2023-02-12 18:30:00,ST-73,ST-73,4
2023-02-12 19:00:00,ST-73,ST-73,3
2023-02-12 20:00:00,ST-426,ST-73,6
2023-02-12 22:00:00,ST-73,ST-426,3
2023-02-18 05:00:00,ST-73,ST-202,4
2023-02-18 10:30:00,ST-297,ST-297,3
2023-02-18 12:30:00,ST-2353,ST-2353,3
2023-02-18 12:30:00,ST-70,ST-55,3
2023-02-18 15:00:00,ST-1442,ST-1442,4
2023-02-18 15:00:00,ST-326,ST-1326,3
2023-02-18 15:30:00,ST-2176,ST-2154,3
2023-02-18 15:30:00,ST-2452,ST-2439,3
2023-02-18 15:30:00,ST-73,ST-73,3
2023-02-18 16:00:00,ST-46,ST-205,3
2023-02-18 17:00:00,ST-1721,ST-1376,3
2023-02-18 18:00:00,ST-426,ST-426,3
