birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1978,M,내국인,ST-3072,ST-59,16,16,964,968
1988,M,내국인,ST-664,ST-2563,17,17,1039,1043
1995,M,내국인,ST-3142,ST-59,19,19,1195,1199
1996,M,내국인,ST-664,ST-664,21,21,1305,1317
1975,F,내국인,ST-1699,ST-664,11,11,692,701
1993,\N,내국인,ST-306,ST-3142,5,5,351,354
1972,\N,내국인,ST-306,ST-1699,8,8,517,526
2002,F,내국인,ST-3142,ST-306,21,21,1284,1294
1982,\N,내국인,ST-1699,ST-285,16,16,974,978
1994,M,내국인,ST-417,ST-285,21,21,1287,1294
1994,\N,내국인,ST-3061,ST-59,20,20,1234,1237
1996,\N,내국인,ST-664,ST-2563,8,8,508,512
1993,\N,내국인,ST-664,ST-3142,15,15,918,932
2006,M,내국인,ST-663,ST-662,16,16,992,997
1997,\N,내국인,ST-1218,ST-1964,7,7,452,457
1982,M,내국인,ST-664,ST-417,13,13,789,795
1977,F,내국인,ST-2559,ST-664,9,9,540,545
2003,M,내국인,ST-664,ST-2563,23,23,1431,1437
1979,\N,내국인,ST-664,ST-1699,21,21,1268,1273
\N,F,내국인,ST-2563,ST-664,7,7,434,439
1993,F,내국인,ST-664,ST-2563,8,8,518,521
1993,M,내국인,ST-59,ST-3204,11,12,719,724
\N,M,내국인,ST-664,ST-662,16,16,1002,1011
1985,M,내국인,ST-662,ST-662,8,8,493,503
1981,\N,내국인,ST-664,ST-2006,20,20,1226,1237
1997,F,내국인,ST-664,ST-664,17,17,1072,1072
1990,\N,내국인,ST-3204,ST-3142,18,18,1101,1105
\N,M,내국인,ST-3061,ST-3142,17,17,1033,1044
1995,\N,내국인,ST-1321,ST-1321,8,8,512,513
1994,\N,내국인,ST-306,ST-306,18,18,1109,1112
1992,F,내국인,ST-664,ST-2563,8,8,482,487
1962,F,내국인,ST-3142,ST-1699,10,11,654,664
2004,M,내국인,ST-662,ST-1218,8,8,503,505
1979,\N,내국인,ST-662,ST-1964,7,7,440,445
1982,\N,내국인,ST-664,ST-664,14,14,865,887
1999,M,내국인,ST-3142,ST-306,20,20,1214,1221
1997,F,내국인,ST-3142,ST-3235,13,13,796,802
1987,\N,내국인,ST-664,ST-2563,6,6,402,405
1989,,내국인,ST-662,ST-1964,7,7,466,471
1990,\N,내국인,ST-1964,ST-3072,18,19,1122,1147
1988,F,내국인,ST-285,ST-1699,8,8,533,535
1975,M,내국인,ST-59,ST-417,13,14,832,856
1993,\N,내국인,ST-2563,ST-664,17,17,1055,1061
1989,F,내국인,ST-3072,ST-1964,16,17,1010,1038
1991,M,내국인,ST-3072,ST-1321,21,22,1318,1326
1979,\N,내국인,ST-664,ST-2559,19,19,1159,1189
1975,F,내국인,ST-1218,ST-663,7,7,474,478
1973,M,내국인,ST-3142,ST-3061,4,4,256,261
1996,M,내국인,ST-1321,ST-3072,8,8,497,503
1991,M,내국인,ST-2559,ST-2559,23,0,1434,3
1999,F,내국인,ST-306,ST-306,8,8,519,519
1973,M,내국인,ST-417,ST-1699,12,12,766,773
1993,\N,내국인,ST-285,ST-1699,8,8,514,517
1993,F,내국인,ST-3142,ST-3204,21,21,1265,1271
1996,F,내국인,ST-3142,ST-3142,8,8,516,517
1964,M,내국인,ST-664,ST-417,22,22,1333,1340
1969,M,내국인,ST-3142,ST-3061,3,4,234,241
1986,M,내국인,ST-3204,ST-3142,21,22,1317,1320
1998,\N,내국인,ST-1964,ST-2559,14,14,887,890
1995,M,내국인,ST-663,ST-664,11,11,690,695
1992,M,내국인,ST-2563,ST-1964,12,12,731,736
1995,M,내국인,ST-59,ST-3061,19,19,1196,1197
1994,M,내국인,ST-662,ST-664,18,18,1104,1109
\N,M,내국인,ST-664,ST-662,23,23,1399,1404
1997,M,내국인,ST-1218,ST-1964,12,13,779,786
1967,\N,내국인,ST-1964,ST-3235,7,7,447,467
1986,M,내국인,ST-1964,ST-1218,13,13,824,835
1976,\N,내국인,ST-285,ST-2563,15,15,902,906
1992,\N,내국인,ST-3142,ST-59,12,12,745,752
1985,\N,내국인,ST-1699,ST-1699,23,23,1405,1407
2006,F,내국인,ST-664,ST-663,7,7,465,472
1991,M,내국인,ST-3235,ST-3142,20,20,1208,1232
2005,M,내국인,ST-1218,ST-663,8,8,484,487
1991,M,내국인,ST-664,ST-285,20,21,1256,1262
1991,M,내국인,ST-2563,ST-417,19,20,1198,1201
1994,\N,내국인,ST-1964,ST-664,10,10,642,657
1982,M,내국인,ST-3142,ST-1699,16,16,991,996
1982,M,내국인,ST-664,ST-417,23,23,1394,1400
1963,F,내국인,ST-2559,ST-1699,10,11,651,667
1970,\N,내국인,ST-663,ST-664,9,9,587,594
\N,F,내국인,ST-664,ST-2563,8,8,519,524
1987,F,내국인,ST-664,ST-664,15,15,932,932
1982,M,내국인,ST-1321,ST-3235,18,18,1103,1106
1977,\N,내국인,ST-664,ST-3142,13,13,800,810
1989,\N,내국인,ST-3072,ST-306,17,18,1078,1088
1977,F,내국인,ST-664,ST-2563,18,18,1106,1109
\N,M,내국인,ST-2559,ST-1964,6,6,376,379
1983,\N,내국인,ST-1699,ST-2006,18,18,1084,1098
1977,F,내국인,ST-2006,ST-417,8,8,522,532
\N,\N,비회원,ST-664,ST-2563,8,8,520,525
1985,M,내국인,ST-1733,ST-664,6,6,403,407
1996,\N,내국인,ST-1321,ST-664,16,17,1019,1031
1969,M,내국인,ST-1699,ST-664,17,17,1037,1046
\N,M,내국인,ST-3072,ST-59,8,8,489,493
2000,M,내국인,ST-1218,ST-1218,11,11,680,680
1971,\N,내국인,ST-1218,ST-664,14,14,844,852
1999,F,내국인,ST-664,ST-664,20,20,1229,1243
1957,,내국인,ST-3142,ST-59,17,18,1075,1082
1994,\N,내국인,ST-1964,ST-1733,18,18,1111,1115
1976,M,내국인,ST-664,ST-417,8,8,497,503
1967,M,내국인,ST-3142,ST-3204,17,17,1021,1038
1972,\N,내국인,ST-1699,ST-3061,17,17,1051,1064
\N,F,내국인,ST-662,ST-285,8,8,524,536
1993,\N,내국인,ST-664,ST-2563,7,7,475,479
1990,M,내국인,ST-3235,ST-3072,8,9,533,545
1996,M,내국인,ST-1321,ST-3072,8,8,488,495
1989,\N,내국인,ST-59,ST-3061,8,8,481,483
1998,\N,내국인,ST-59,ST-3142,11,11,689,696
