birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1987,M,내국인,ST-1142,ST-624,7,8,478,482
1995,\N,내국인,ST-1142,ST-1938,7,7,429,434
\N,F,내국인,ST-1938,ST-3219,20,20,1207,1213
1984,F,내국인,ST-637,ST-1938,9,9,568,580
1991,M,내국인,ST-2642,ST-1149,8,8,516,521
1990,\N,내국인,ST-1140,ST-1142,8,8,500,508
\N,M,내국인,ST-1938,ST-3219,8,8,525,532
1981,M,내국인,ST-1142,ST-1938,20,20,1230,1237
1998,\N,내국인,ST-2642,ST-637,18,18,1083,1089
1995,\N,내국인,ST-1142,ST-637,18,18,1096,1106
1983,\N,내국인,ST-1149,ST-1149,12,13,774,798
1989,M,내국인,ST-2642,ST-2642,17,17,1057,1057
\N,\N,내국인,ST-1938,ST-3219,8,8,518,529
1995,\N,내국인,ST-1938,ST-624,12,12,774,775
1991,M,내국인,ST-2642,ST-1938,10,10,636,644
1997,F,내국인,ST-2642,ST-3236,15,15,954,959
1994,M,내국인,ST-3219,ST-1938,9,10,591,600
1992,F,내국인,ST-637,ST-1149,17,17,1026,1038
1995,F,내국인,ST-1149,ST-2642,18,19,1132,1140
2000,F,내국인,ST-3236,ST-3236,21,22,1311,1332
1998,M,내국인,ST-1142,ST-1938,9,9,587,597
1999,F,내국인,ST-3029,ST-1140,13,13,802,804
1998,M,내국인,ST-637,ST-625,21,21,1295,1297
\N,M,내국인,ST-1938,ST-2642,19,19,1170,1179
2001,F,내국인,ST-1938,ST-3219,10,10,616,624
1998,F,내국인,ST-624,ST-1938,9,9,541,544
1993,M,내국인,ST-3219,ST-1149,8,8,486,490
1974,M,내국인,ST-1938,ST-1140,7,7,425,428
1991,\N,내국인,ST-1140,ST-3029,17,17,1029,1031
2002,F,내국인,ST-1938,ST-1141,23,23,1392,1400
1982,M,내국인,ST-637,ST-3029,7,8,476,484
2001,M,내국인,ST-2642,ST-1938,8,8,521,530
1992,\N,내국인,ST-3236,ST-2642,18,18,1094,1102
1992,M,내국인,ST-1142,ST-1938,8,9,537,541
1996,M,내국인,ST-3029,ST-1938,7,7,470,474
1992,F,내국인,ST-1141,ST-2642,16,16,997,1003
1997,F,내국인,ST-1149,ST-2642,14,14,865,873
1997,\N,내국인,ST-1149,ST-2642,18,18,1089,1096
1996,M,내국인,ST-2642,ST-1142,21,21,1268,1279
1998,F,내국인,ST-3029,ST-1938,7,7,449,453
1992,\N,내국인,ST-2642,ST-2642,18,18,1091,1092
1993,\N,내국인,ST-3219,ST-3236,23,23,1417,1421
1977,\N,내국인,ST-1938,ST-625,18,18,1092,1104
1968,\N,내국인,ST-1938,ST-1141,7,8,479,496
1980,M,내국인,ST-2642,ST-3219,9,9,592,597
1981,M,내국인,ST-1149,ST-1938,12,12,725,728
2000,\N,내국인,ST-2642,ST-1938,18,18,1089,1100
1993,M,내국인,ST-2642,ST-1149,7,7,454,459
1994,\N,내국인,ST-1142,ST-1938,18,18,1087,1095
1992,F,내국인,ST-1938,ST-637,17,18,1074,1086
\N,M,내국인,ST-637,ST-2642,8,8,510,516
1989,F,내국인,ST-3236,ST-2642,9,9,584,587
\N,F,내국인,ST-1938,ST-2642,17,18,1075,1085
1980,M,내국인,ST-1140,ST-1140,8,8,494,498
1997,M,내국인,ST-624,ST-624,17,17,1047,1070
1993,M,내국인,ST-2642,ST-3029,18,18,1104,1110
1984,\N,내국인,ST-624,ST-3219,21,21,1282,1287
1999,M,내국인,ST-1141,ST-1938,16,16,1003,1006
\N,F,내국인,ST-637,ST-1142,16,17,1002,1022
