birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1986,F,내국인,ST-1473,ST-1124,16,16,966,973
1993,,내국인,ST-1642,ST-1124,20,20,1204,1208
1993,M,내국인,ST-914,ST-1124,16,17,1017,1022
1979,\N,내국인,ST-914,ST-2835,18,18,1120,1123
\N,\N,비회원,ST-1642,ST-1642,6,6,388,404
1972,F,내국인,ST-610,ST-2711,9,9,581,594
1993,M,내국인,ST-2835,ST-914,8,8,495,499
1996,F,내국인,ST-1642,ST-1121,18,18,1096,1101
1975,M,내국인,ST-1473,ST-914,7,7,453,464
1974,M,내국인,ST-2070,ST-611,17,17,1068,1077
\N,F,내국인,ST-1121,ST-2835,16,16,972,980
1998,\N,내국인,ST-1121,ST-1121,16,16,974,975
2003,\N,내국인,ST-2070,ST-611,20,20,1212,1219
1985,\N,내국인,ST-1121,ST-1642,19,19,1148,1151
2007,M,내국인,ST-1473,ST-914,22,22,1324,1331
1999,\N,내국인,ST-1476,ST-1476,0,0,17,17
2004,F,내국인,ST-914,ST-1124,15,15,941,952
1997,,내국인,ST-2835,ST-2835,9,9,548,548
1987,M,내국인,ST-2087,ST-914,20,20,1221,1234
1998,M,내국인,ST-2835,ST-611,19,19,1156,1162
2003,F,내국인,ST-2087,ST-1642,22,22,1338,1354
1978,F,내국인,ST-1473,ST-914,7,7,444,453
1997,\N,내국인,ST-2087,ST-2835,19,19,1158,1167
1978,M,내국인,ST-2729,ST-2711,15,15,906,918
1955,\N,내국인,ST-914,ST-1284,6,6,370,379
1996,\N,내국인,ST-610,ST-914,11,11,684,694
1996,M,내국인,ST-1640,ST-2698,20,20,1228,1231
1987,\N,내국인,ST-2729,ST-2087,10,10,646,654
1998,F,내국인,ST-2087,ST-1284,22,22,1361,1369
1994,M,내국인,ST-611,ST-914,11,11,707,714
1995,\N,내국인,ST-1121,ST-914,17,17,1053,1067
1995,M,내국인,ST-2729,ST-2087,13,13,780,785
2003,M,내국인,ST-2070,ST-2070,21,21,1273,1273
\N,M,내국인,ST-2835,ST-914,7,7,463,467
1993,M,내국인,ST-1121,ST-1642,22,22,1373,1379
1969,\N,내국인,ST-2070,ST-1642,8,8,480,489
1999,M,내국인,ST-611,ST-1124,23,23,1426,1429
1965,M,내국인,ST-1640,ST-2698,11,12,713,732
\N,\N,비회원,ST-610,ST-1121,15,15,936,948
\N,M,내국인,ST-1284,ST-2087,5,6,355,361
1997,F,내국인,ST-1121,ST-1476,8,8,507,513
1997,\N,내국인,ST-1121,ST-1672,12,12,729,740
1969,,내국인,ST-2729,ST-2087,7,7,446,454
2003,\N,내국인,ST-1473,ST-914,9,9,584,595
1983,M,내국인,ST-2835,ST-2087,6,6,396,402
2000,\N,내국인,ST-1473,ST-1473,11,11,696,697
1975,M,내국인,ST-2835,ST-914,7,7,434,439
2003,F,내국인,ST-611,ST-2835,16,16,977,983
1992,M,내국인,ST-611,ST-1124,19,19,1147,1151
\N,M,내국인,ST-1124,ST-2070,21,21,1272,1277
2000,M,내국인,ST-1284,ST-611,11,11,695,701
1999,\N,내국인,ST-2711,ST-1284,1,1,66,71
1999,\N,내국인,ST-2070,ST-1121,22,22,1348,1359
1963,F,내국인,ST-1672,ST-2698,10,10,633,641
1958,\N,내국인,ST-1640,ST-1640,11,12,718,730
2003,\N,내국인,ST-611,ST-2729,16,16,984,1012
\N,M,내국인,ST-914,ST-914,12,12,759,767
1997,M,내국인,ST-1640,ST-1642,13,13,802,811
\N,M,내국인,ST-611,ST-1121,13,13,781,784
1973,M,내국인,ST-1672,ST-914,21,21,1294,1300
1986,M,내국인,ST-2698,ST-1640,9,9,544,549
1967,F,내국인,ST-1473,ST-1124,17,18,1075,1089
1989,\N,내국인,ST-1672,ST-1640,8,8,515,520
2005,F,내국인,ST-1284,ST-1121,6,7,418,426
1996,F,내국인,ST-1124,ST-914,21,21,1289,1299
1964,M,내국인,ST-1476,ST-1476,18,18,1096,1097
1973,M,내국인,ST-2835,ST-2087,7,7,433,439
2001,F,내국인,ST-1124,ST-1473,19,19,1175,1185
2001,\N,내국인,ST-2087,ST-2070,17,17,1069,1078
1987,M,내국인,ST-610,ST-1121,7,7,429,435
2002,\N,내국인,ST-1642,ST-1642,11,11,669,669
1997,F,내국인,ST-2835,ST-914,9,9,571,575
1997,M,내국인,ST-2729,ST-914,9,9,541,546
2001,\N,내국인,ST-2087,ST-2070,0,0,23,29
1989,,내국인,ST-1640,ST-2698,0,0,24,28
1967,F,내국인,ST-1473,ST-914,9,9,577,591
1992,,내국인,ST-1642,ST-1642,14,14,869,890
1986,M,내국인,ST-2711,ST-1473,19,19,1170,1174
1978,\N,내국인,ST-2711,ST-1473,17,17,1023,1027
1991,\N,내국인,ST-914,ST-1473,18,19,1128,1152
1994,\N,내국인,ST-914,ST-610,7,7,450,460
2002,M,내국인,ST-610,ST-610,22,22,1332,1346
1988,\N,내국인,ST-1476,ST-611,16,16,994,1002
1985,F,내국인,ST-2711,ST-1284,20,21,1254,1266
2007,F,내국인,ST-1473,ST-2711,15,15,952,958
1970,F,내국인,ST-611,ST-914,21,22,1312,1323
2003,M,내국인,ST-2729,ST-611,8,8,500,505
1974,M,내국인,ST-1124,ST-2070,11,11,704,711
1990,\N,내국인,ST-611,ST-1642,17,17,1024,1029
2003,M,내국인,ST-914,ST-2070,21,22,1315,1324
2006,M,내국인,ST-1473,ST-1284,16,16,974,984
1979,F,내국인,ST-611,ST-1284,12,12,735,746
1990,M,내국인,ST-1121,ST-1476,11,12,719,727
2000,\N,내국인,ST-2087,ST-2070,12,12,767,775
1972,M,내국인,ST-1121,ST-1640,9,9,559,569
2001,M,내국인,ST-2711,ST-2087,9,9,563,572
2001,M,내국인,ST-914,ST-1642,22,22,1324,1329
