birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1998,M,내국인,ST-827,ST-273,14,14,860,866
2006,M,내국인,ST-271,ST-273,18,18,1111,1114
2008,F,내국인,ST-1455,ST-1201,17,17,1056,1064
1993,M,내국인,ST-1215,ST-827,20,20,1227,1230
1993,\N,내국인,ST-1215,ST-827,14,14,842,845
1986,M,내국인,ST-827,ST-1215,20,20,1228,1231
1992,F,내국인,ST-1631,ST-3165,8,8,487,488
2002,F,내국인,ST-1455,ST-827,18,19,1134,1141
1972,F,내국인,ST-827,ST-827,17,17,1052,1053
1981,\N,내국인,ST-269,ST-1631,7,7,438,444
1986,M,내국인,ST-827,ST-1201,17,17,1061,1072
2003,M,내국인,ST-1631,ST-827,19,19,1173,1177
1999,\N,내국인,ST-1201,ST-1455,21,22,1314,1320
1986,M,내국인,ST-2502,ST-2502,17,18,1075,1080
2002,M,내국인,ST-1636,ST-1631,14,14,882,896
\N,M,내국인,ST-827,ST-273,17,17,1042,1048
2007,F,내국인,ST-1317,ST-827,15,15,925,936
\N,F,내국인,ST-1201,ST-1215,23,23,1405,1415
1998,\N,내국인,ST-273,ST-827,16,16,970,977
2003,\N,내국인,ST-271,ST-827,10,10,617,625
\N,M,내국인,ST-1636,ST-827,22,22,1355,1358
2000,\N,내국인,ST-1201,ST-1215,23,23,1417,1425
1992,F,내국인,ST-1631,ST-1631,19,20,1197,1209
1989,F,내국인,ST-1631,ST-1215,16,17,1015,1032
1995,M,내국인,ST-269,ST-827,13,13,801,808
1996,\N,내국인,ST-827,ST-273,19,19,1153,1176
2001,M,내국인,ST-827,ST-269,18,18,1108,1115
1997,\N,내국인,ST-1317,ST-1317,16,17,1017,1044
1999,M,내국인,ST-1317,ST-1636,12,12,720,724
\N,F,내국인,ST-1455,ST-1455,9,10,590,610
1992,M,내국인,ST-1215,ST-2502,23,23,1404,1410
1974,M,내국인,ST-1631,ST-271,6,6,386,390
2009,M,내국인,ST-1215,ST-271,15,15,915,921
1983,M,내국인,ST-269,ST-269,18,18,1103,1104
1992,M,내국인,ST-1201,ST-827,16,16,975,984
1994,M,내국인,ST-1636,ST-1317,12,12,773,777
\N,M,내국인,ST-1636,ST-827,12,12,750,754
1901,\N,내국인,ST-827,ST-271,17,17,1063,1071
1998,\N,내국인,ST-1455,ST-1201,14,14,859,865
1996,F,내국인,ST-1317,ST-1636,20,20,1222,1226
1993,M,내국인,ST-1201,ST-1215,20,20,1223,1231
1997,\N,내국인,ST-827,ST-1636,9,9,587,592
2001,M,내국인,ST-1455,ST-1201,17,17,1057,1062
1993,M,내국인,ST-1455,ST-827,8,8,512,516
2002,F,내국인,ST-1317,ST-1636,19,19,1151,1157
1999,\N,내국인,ST-827,ST-1215,21,21,1260,1263
1995,M,내국인,ST-269,ST-827,9,10,599,607
