birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1999,\N,내국인,ST-68,ST-70,13,13,791,796
1995,F,내국인,ST-307,ST-70,22,22,1343,1349
1997,M,내국인,ST-66,ST-63,17,17,1034,1036
1987,F,내국인,ST-2814,ST-71,18,18,1087,1094
1992,\N,내국인,ST-47,ST-73,13,13,790,796
1996,F,내국인,ST-73,ST-73,18,18,1104,1104
1995,\N,내국인,ST-73,ST-307,1,1,64,79
1997,M,내국인,ST-68,ST-70,12,12,752,756
1991,M,내국인,ST-72,ST-307,20,20,1222,1228
2004,F,내국인,ST-72,ST-307,22,23,1369,1398
1994,M,내국인,ST-73,ST-2814,7,7,461,467
1975,\N,내국인,ST-68,ST-70,9,9,579,584
1998,F,내국인,ST-68,ST-73,15,15,942,950
1989,\N,내국인,ST-307,ST-63,8,8,490,494
1999,M,내국인,ST-68,ST-66,6,6,399,405
1989,M,내국인,ST-73,ST-47,17,17,1049,1053
1988,M,내국인,ST-72,ST-72,16,16,1017,1017
1967,M,내국인,ST-73,ST-66,7,7,460,466
1988,M,내국인,ST-67,ST-73,7,7,436,440
1993,F,내국인,ST-67,ST-70,8,8,492,497
1987,\N,내국인,ST-73,ST-47,16,16,1007,1014
1971,M,내국인,ST-66,ST-67,17,17,1024,1029
1995,\N,내국인,ST-51,ST-47,8,8,498,502
1973,M,내국인,ST-62,ST-66,9,9,563,565
1986,M,내국인,ST-62,ST-66,16,16,988,991
\N,M,내국인,ST-307,ST-63,5,5,353,357
1989,\N,내국인,ST-47,ST-73,18,18,1125,1131
1991,\N,내국인,ST-47,ST-73,14,14,868,873
1998,\N,내국인,ST-72,ST-73,21,21,1270,1280
1979,M,내국인,ST-73,ST-47,17,17,1020,1027
1991,M,내국인,ST-68,ST-71,18,18,1134,1138
1985,F,내국인,ST-2813,ST-72,19,19,1146,1152
\N,M,내국인,ST-307,ST-2814,8,8,499,506
1966,F,내국인,ST-70,ST-66,16,16,969,972
2004,\N,내국인,ST-70,ST-73,21,21,1287,1301
1983,F,내국인,ST-67,ST-64,21,21,1290,1292
1982,M,내국인,ST-2813,ST-71,8,8,498,502
1992,F,내국인,ST-73,ST-73,22,22,1343,1344
1989,M,내국인,ST-72,ST-307,17,17,1058,1063
1971,M,내국인,ST-66,ST-72,17,17,1045,1049
\N,M,내국인,ST-47,ST-55,8,8,485,491
1985,\N,내국인,ST-73,ST-68,8,8,509,520
1992,M,내국인,ST-71,ST-67,7,7,442,449
1959,M,내국인,ST-66,ST-62,9,9,592,595
1983,M,내국인,ST-307,ST-66,7,7,470,477
2001,F,내국인,ST-62,ST-64,18,18,1128,1137
\N,M,내국인,ST-2814,ST-62,11,11,687,695
1996,\N,내국인,ST-71,ST-68,9,9,554,562
1982,F,내국인,ST-2814,ST-64,17,17,1023,1030
1985,M,내국인,ST-73,ST-47,9,9,580,591
1995,\N,내국인,ST-2813,ST-51,18,18,1102,1115
1999,\N,내국인,ST-51,ST-47,9,9,543,549
1989,\N,내국인,ST-47,ST-47,11,11,711,711
1991,M,내국인,ST-47,ST-51,17,17,1053,1056
1990,F,내국인,ST-47,ST-66,11,12,711,725
1995,M,내국인,ST-73,ST-47,8,8,488,493
2003,F,내국인,ST-66,ST-307,14,14,877,894
1996,F,내국인,ST-2813,ST-2813,17,17,1069,1070
1996,\N,내국인,ST-68,ST-73,16,16,1003,1010
1993,M,내국인,ST-66,ST-68,19,19,1150,1155
1981,M,내국인,ST-68,ST-66,8,8,527,534
1982,M,내국인,ST-62,ST-66,0,0,1,5
1979,M,내국인,ST-70,ST-307,20,20,1239,1245
1993,\N,내국인,ST-68,ST-307,12,12,763,770
1984,M,내국인,ST-64,ST-70,12,12,756,777
1998,\N,내국인,ST-62,ST-66,11,11,697,700
1995,\N,내국인,ST-47,ST-51,17,17,1074,1078
1981,F,내국인,ST-64,ST-64,18,18,1090,1091
1996,M,내국인,ST-73,ST-2814,8,8,526,533
1978,M,내국인,ST-307,ST-72,7,7,427,431
1985,M,내국인,ST-73,ST-47,9,9,582,589
1972,M,내국인,ST-66,ST-62,15,15,905,907
1991,F,내국인,ST-62,ST-68,15,15,937,946
