birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1982,M,내국인,ST-9,ST-18,8,8,527,532
1999,F,내국인,ST-232,ST-223,13,13,816,822
\N,\N,내국인,ST-2168,ST-2157,15,15,945,951
1964,M,내국인,ST-223,ST-232,21,21,1275,1283
1971,\N,내국인,ST-232,ST-232,14,14,862,864
1999,M,내국인,ST-2168,ST-9,15,15,907,919
\N,M,내국인,ST-2979,ST-18,20,20,1202,1209
\N,F,내국인,ST-18,ST-1190,12,12,737,745
1994,F,내국인,ST-2167,ST-4,22,22,1354,1361
1991,\N,내국인,ST-18,ST-1190,19,19,1172,1180
1995,M,내국인,ST-9,ST-18,15,15,913,917
1996,\N,내국인,ST-341,ST-9,11,11,683,689
1992,M,내국인,ST-2157,ST-18,9,9,566,571
1992,F,내국인,ST-2979,ST-18,6,6,387,393
1996,M,내국인,ST-18,ST-2979,9,9,564,567
1998,M,내국인,ST-341,ST-18,8,8,522,526
1995,\N,내국인,ST-18,ST-341,20,20,1209,1217
2007,F,내국인,ST-18,ST-2979,7,8,475,480
1981,\N,내국인,ST-2979,ST-341,18,18,1134,1136
1985,\N,내국인,ST-4,ST-18,16,16,971,980
1992,\N,내국인,ST-18,ST-223,13,13,780,793
1991,M,내국인,ST-18,ST-9,7,7,434,438
1989,\N,내국인,ST-341,ST-341,20,20,1221,1244
1989,F,내국인,ST-1190,ST-18,8,8,500,507
1998,\N,내국인,ST-18,ST-4,17,18,1070,1081
\N,F,내국인,ST-4,ST-18,10,10,617,624
1989,M,내국인,ST-18,ST-2979,17,17,1069,1075
1997,M,내국인,ST-2979,ST-2168,11,11,696,700
2003,M,내국인,ST-341,ST-9,17,17,1051,1057
1992,\N,내국인,ST-341,ST-2168,21,21,1273,1280
1997,M,내국인,ST-1190,ST-18,19,19,1169,1175
1991,\N,내국인,ST-18,ST-2979,10,11,655,660
1990,F,내국인,ST-341,ST-18,12,13,778,785
1976,M,내국인,ST-2979,ST-4,17,17,1066,1079
1994,\N,내국인,ST-18,ST-341,8,8,532,538
1972,M,내국인,ST-18,ST-2979,15,15,951,955
