birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1986,\N,내국인,ST-1263,ST-445,17,17,1061,1068
1994,M,내국인,ST-1263,ST-363,22,22,1373,1376
1997,F,내국인,ST-506,ST-1191,8,8,508,515
1996,\N,내국인,ST-2310,ST-445,4,4,268,274
1991,\N,내국인,ST-368,ST-368,19,19,1160,1160
1996,M,내국인,ST-3043,ST-368,8,8,488,496
1983,F,내국인,ST-3043,ST-105,10,10,602,610
\N,F,내국인,ST-446,ST-1191,16,16,978,983
1997,M,내국인,ST-361,ST-445,19,19,1190,1198
1993,\N,내국인,ST-371,ST-105,14,15,893,900
2000,F,내국인,ST-1263,ST-363,11,11,688,696
1994,M,내국인,ST-105,ST-3044,12,12,723,729
1995,F,내국인,ST-364,ST-3003,10,10,620,622
2000,M,내국인,ST-1263,ST-2310,22,22,1338,1356
1998,\N,내국인,ST-506,ST-446,21,21,1268,1274
1987,M,내국인,ST-368,ST-446,18,18,1093,1103
\N,\N,비회원,ST-2310,ST-363,23,23,1385,1399
1993,M,내국인,ST-446,ST-506,8,8,526,531
2000,M,내국인,ST-364,ST-2320,18,18,1082,1088
1968,M,내국인,ST-364,ST-105,18,18,1111,1115
1973,M,내국인,ST-2310,ST-1661,7,7,470,475
2001,M,내국인,ST-382,ST-445,10,10,605,607
1990,M,내국인,ST-3043,ST-368,18,18,1098,1105
1975,M,내국인,ST-364,ST-371,2,2,159,160
1983,\N,내국인,ST-364,ST-105,15,15,907,911
1974,F,내국인,ST-3043,ST-361,8,8,517,525
1995,,내국인,ST-2341,ST-2341,20,20,1225,1226
1996,\N,내국인,ST-368,ST-506,10,10,615,623
1967,M,내국인,ST-106,ST-1191,16,16,986,994
1993,F,내국인,ST-364,ST-445,17,18,1077,1083
1989,F,내국인,ST-3003,ST-446,18,18,1099,1108
2003,M,내국인,ST-2310,ST-1690,17,17,1051,1054
1988,\N,내국인,ST-368,ST-3003,8,8,494,497
1995,F,내국인,ST-2331,ST-368,15,15,923,938
2002,F,내국인,ST-361,ST-1191,16,16,1002,1015
1989,\N,내국인,ST-112,ST-1661,12,12,762,766
1990,M,내국인,ST-106,ST-368,21,21,1275,1283
1992,\N,내국인,ST-368,ST-364,9,9,583,586
1972,\N,내국인,ST-1263,ST-371,8,8,495,503
1999,,내국인,ST-3003,ST-1661,18,18,1124,1131
1994,M,내국인,ST-2543,ST-1263,7,7,474,477
1991,M,내국인,ST-446,ST-506,11,11,709,714
1994,M,내국인,ST-2543,ST-1263,7,7,476,478
1995,F,내국인,ST-506,ST-106,8,8,484,488
1992,F,내국인,ST-506,ST-3043,13,13,798,807
2006,M,내국인,ST-2341,ST-446,16,16,997,1008
1988,\N,내국인,ST-446,ST-105,8,8,515,522
1980,F,내국인,ST-506,ST-1690,20,20,1207,1214
1995,M,내국인,ST-446,ST-506,16,16,996,1001
1990,F,내국인,ST-371,ST-368,17,17,1054,1058
1999,\N,내국인,ST-445,ST-2320,20,20,1243,1247
1998,\N,내국인,ST-2310,ST-368,9,9,544,550
1994,\N,내국인,ST-368,ST-371,8,8,522,525
1996,M,내국인,ST-1263,ST-445,17,17,1073,1079
