birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
\N,\N,내국인,ST-2740,ST-497,7,7,463,466
1986,M,내국인,ST-1687,ST-1687,10,10,621,651
\N,M,내국인,ST-1837,ST-1420,14,14,870,883
1994,F,내국인,ST-494,ST-1687,9,9,546,553
2000,F,내국인,ST-2748,ST-502,7,7,456,465
1986,F,내국인,ST-1061,ST-1687,7,8,467,485
2002,F,내국인,ST-502,ST-497,14,14,879,884
2004,M,내국인,ST-2747,ST-1061,15,16,946,962
1986,F,내국인,ST-1848,ST-2740,13,13,821,827
\N,F,내국인,ST-503,ST-497,17,17,1041,1047
1999,\N,내국인,ST-2749,ST-2742,13,13,820,825
1999,M,내국인,ST-1848,ST-495,16,17,1017,1038
1996,\N,내국인,ST-2592,ST-1720,14,14,864,869
1995,M,내국인,ST-1720,ST-1720,18,18,1083,1083
1999,,내국인,ST-1837,ST-2749,8,8,483,488
1982,M,내국인,ST-2749,ST-1836,15,15,943,948
\N,M,내국인,ST-2749,ST-2748,6,6,378,385
1997,\N,내국인,ST-2742,ST-2748,0,0,3,10
1992,M,내국인,ST-505,ST-505,8,8,531,532
1984,M,내국인,ST-502,ST-2748,8,8,490,494
1993,F,내국인,ST-2747,ST-1061,18,18,1115,1129
1996,M,내국인,ST-1687,ST-497,18,18,1090,1100
1985,M,내국인,ST-503,ST-497,0,0,21,24
1997,\N,내국인,ST-2740,ST-1848,2,2,156,169
1997,F,내국인,ST-1687,ST-2749,17,17,1032,1051
2001,M,내국인,ST-502,ST-495,9,9,588,595
2008,F,내국인,ST-1420,ST-892,16,16,994,1009
1979,F,내국인,ST-497,ST-497,14,14,880,895
1963,M,내국인,ST-1836,ST-1837,10,10,642,646
\N,F,내국인,ST-495,ST-1839,8,8,528,535
1963,\N,내국인,ST-1687,ST-2749,19,19,1144,1154
1989,F,내국인,ST-495,ST-495,17,17,1052,1077
1989,M,내국인,ST-2740,ST-497,0,0,24,28
1991,M,내국인,ST-1720,ST-892,18,18,1127,1134
2002,F,내국인,ST-1580,ST-1420,13,13,825,830
1991,M,내국인,ST-505,ST-2747,22,22,1365,1369
1998,\N,내국인,ST-1836,ST-502,19,19,1144,1168
\N,M,내국인,ST-2742,ST-494,21,22,1316,1320
2002,M,내국인,ST-502,ST-1720,15,15,912,923
2003,M,내국인,ST-2748,ST-2742,18,18,1101,1105
1997,M,내국인,ST-892,ST-892,19,19,1170,1192
1994,,내국인,ST-1720,ST-1420,15,15,945,954
1993,M,내국인,ST-505,ST-1420,8,8,524,529
1990,F,내국인,ST-1687,ST-1848,18,18,1088,1095
1991,F,내국인,ST-505,ST-1687,14,14,865,874
1959,M,내국인,ST-503,ST-497,7,7,460,464
1974,F,내국인,ST-1687,ST-494,13,13,803,823
1984,M,내국인,ST-503,ST-2748,7,7,452,458
1989,F,내국인,ST-2592,ST-2748,7,7,434,442
1992,\N,내국인,ST-503,ST-2749,20,20,1240,1258
1991,F,내국인,ST-503,ST-495,7,7,443,448
1993,,내국인,ST-497,ST-1848,14,14,849,855
1985,\N,내국인,ST-1836,ST-892,8,8,505,530
1995,F,내국인,ST-1061,ST-503,14,14,855,882
1973,\N,내국인,ST-494,ST-505,2,2,151,153
2002,\N,내국인,ST-2740,ST-1420,21,21,1281,1288
1996,M,내국인,ST-1837,ST-505,10,10,625,630
1989,\N,내국인,ST-2742,ST-495,11,12,713,722
1998,M,내국인,ST-1687,ST-1687,12,13,762,787
1986,\N,내국인,ST-503,ST-503,20,20,1222,1249
1961,F,내국인,ST-494,ST-2748,12,12,767,771
1998,\N,내국인,ST-502,ST-497,7,7,465,469
1956,M,내국인,ST-2748,ST-505,12,12,760,763
1997,\N,내국인,ST-1837,ST-502,7,7,450,461
1986,\N,내국인,ST-2592,ST-1848,8,8,511,520
1983,,내국인,ST-1720,ST-892,7,7,469,474
1989,\N,내국인,ST-502,ST-2748,7,7,467,471
1993,F,내국인,ST-502,ST-494,22,22,1338,1350
1992,F,내국인,ST-2740,ST-497,8,8,506,515
1997,\N,내국인,ST-502,ST-1720,18,18,1084,1090
1984,F,내국인,ST-505,ST-2740,7,7,433,440
2059,F,내국인,ST-502,ST-503,10,10,609,612
1993,M,내국인,ST-495,ST-502,22,22,1334,1341
1999,\N,내국인,ST-502,ST-1580,14,14,889,894
1981,M,내국인,ST-503,ST-497,7,8,477,480
\N,M,내국인,ST-494,ST-1836,18,18,1085,1093
1992,F,내국인,ST-503,ST-495,20,20,1224,1231
1987,M,내국인,ST-1687,ST-1687,10,10,636,657
1997,F,내국인,ST-2748,ST-2740,8,8,498,503
1966,\N,내국인,ST-1061,ST-1837,8,8,492,496
1958,M,내국인,ST-494,ST-494,16,16,976,989
1965,M,내국인,ST-494,ST-2749,5,5,345,347
1984,M,내국인,ST-502,ST-497,23,23,1397,1403
\N,F,내국인,ST-1420,ST-1687,10,10,614,620
1965,F,내국인,ST-2742,ST-1580,9,9,567,574
1995,\N,내국인,ST-502,ST-1836,20,20,1210,1225
1987,F,내국인,ST-1687,ST-892,7,7,447,461
1998,\N,내국인,ST-2748,ST-2747,19,19,1149,1158
1993,F,내국인,ST-502,ST-2749,18,19,1122,1151
2000,M,내국인,ST-1839,ST-2742,7,7,445,449
2003,F,내국인,ST-1839,ST-505,15,15,943,952
1970,\N,내국인,ST-494,ST-2742,7,7,455,460
